t,x,y,z,u,v,w,p,q,r,phi,theta,psi,del_lat,del_lon,del_yaw,del_thrust
5.3,0.0076044,0.021832,0.0023177,-0.0058566,-0.022652,-0.00347,-0.0022293,0.00012982,-0.027921,0.001855,-0.00023511,0.026359,0,0,0,0
5.4,0.0070384,0.01968,0.0019916,-0.0054665,-0.020428,-0.0030591,-0.0020106,0.00012866,-0.025956,0.0016728,-0.00022513,0.024549,0,0,0,0
5.5,0.0065104,0.01774,0.0017043,-0.0050971,-0.018422,-0.0026934,-0.0018125,0.00012766,-0.024133,0.0015086,-0.00021515,0.022866,0,0,0,0
5.6,0.0060183,0.015989,0.0014516,-0.0047478,-0.016613,-0.002368,-0.0016337,0.00012655,-0.022442,0.0013606,-0.00020515,0.021302,0,0,0,0
5.7,0.0055602,0.014411,0.0012295,-0.004418,-0.014982,-0.0020788,-0.0014724,0.00012512,-0.020873,0.0012273,-0.00019516,0.019846,0,0,0,0
5.8,0.0051341,0.012988,0.0010347,-0.0041073,-0.01351,-0.0018219,-0.0013272,0.00012324,-0.019417,0.001107,-0.00018522,0.018493,0,0,0,0
5.9,0.0047382,0.011704,0.00086417,-0.0038149,-0.012183,-0.0015938,-0.0011964,0.00012085,-0.018065,0.0009987,-0.00017537,0.017233,0,0,0,0
6,0.0043705,0.010547,0.00071511,-0.0035403,-0.010985,-0.0013915,-0.0010788,0.00011794,-0.01681,0.00090102,-0.00016568,0.016062,0,0,0,0
6.1,0.0040295,0.0095032,0.00058512,-0.0032829,-0.0099052,-0.0012121,-0.00097296,0.00011454,-0.015645,0.00081294,-0.00015618,0.014971,0,0,0,0
6.2,0.0037134,0.0085622,0.000472,-0.0030418,-0.0089308,-0.0010533,-0.00087769,0.00011072,-0.014563,0.0007335,-0.00014694,0.013956,0,0,0,0
6.3,0.0034206,0.0077138,0.00037384,-0.0028165,-0.0080517,-0.00091285,-0.0007919,0.00010653,-0.013557,0.00066183,-0.00013798,0.013011,0,0,0,0
6.4,0.0031496,0.006949,0.00028889,-0.0026061,-0.0072587,-0.0007887,-0.00071462,0.00010208,-0.012623,0.00059716,-0.00012935,0.012131,0,0,0,0
6.5,0.0028989,0.0062595,0.00021561,-0.0024099,-0.0065433,-0.00067912,-0.00064497,9.7431e-05,-0.011755,0.00053879,-0.00012106,0.011312,0,0,0,0
6.6,0.0026672,0.005638,0.00015263,-0.0022271,-0.005898,-0.00058251,-0.00058216,9.2669e-05,-0.010948,0.00048611,-0.00011315,0.010549,0,0,0,0
6.7,0.0024531,0.0050778,9.8726e-05,-0.0020571,-0.0053159,-0.00049746,-0.00052549,8.7863e-05,-0.010198,0.00043855,-0.00010561,0.0098386,0,0,0,0
6.8,0.0022554,0.0045729,5.28e-05,-0.0018991,-0.0047909,-0.00042268,-0.00047434,8.3072e-05,-0.0094998,0.00039562,-9.8459e-05,0.0091766,0,0,0,0
6.9,0.0020729,0.0041179,1.3886e-05,-0.0017523,-0.0043174,-0.00035704,-0.00042817,7.8346e-05,-0.0088509,0.00035686,-9.1692e-05,0.0085599,0,0,0,0
7,0.0019046,0.0037079,-1.8878e-05,-0.0016161,-0.0038904,-0.00029951,-0.00038647,7.3727e-05,-0.0082473,0.00032187,-8.5305e-05,0.0079853,0,0,0,0
7.1,0.0017493,0.0033385,-4.6256e-05,-0.0014898,-0.0035053,-0.00024919,-0.00034881,6.9246e-05,-0.0076857,0.00029029,-7.9292e-05,0.0074498,0,0,0,0
7.2,0.0016063,0.0030056,-6.8929e-05,-0.0013728,-0.0031581,-0.00020526,-0.00031479,6.4925e-05,-0.0071632,0.00026178,-7.3641e-05,0.0069507,0,0,0,0
7.3,0.0014745,0.0027057,-8.7497e-05,-0.0012645,-0.0028451,-0.000167,-0.00028407,6.0782e-05,-0.0066769,0.00023606,-6.8339e-05,0.0064856,0,0,0,0
7.4,0.0013531,0.0024355,-0.00010249,-0.0011643,-0.0025629,-0.00013374,-0.00025631,5.6826e-05,-0.0062242,0.00021284,-6.3373e-05,0.0060519,0,0,0,0
7.5,0.0012414,0.0021922,-0.00011439,-0.0010715,-0.0023086,-0.00010492,-0.00023125,5.3063e-05,-0.0058029,0.00019189,-5.8728e-05,0.0056477,0,0,0,0
7.6,0.0011386,0.001973,-0.00012361,-0.00098585,-0.0020793,-8.0024e-05,-0.00020861,4.9495e-05,-0.0054106,0.00017299,-5.4389e-05,0.0052708,0,0,0,0
7.7,0.001044,0.0017756,-0.00013051,-0.00090668,-0.0018726,-5.8581e-05,-0.00018817,4.612e-05,-0.0050453,0.00015594,-5.0339e-05,0.0049193,0,0,0,0
7.8,0.00095703,0.0015978,-0.00013543,-0.00083358,-0.0016864,-4.0186e-05,-0.00016972,4.2936e-05,-0.004705,0.00014056,-4.6564e-05,0.0045916,0,0,0,0
7.9,0.00087709,0.0014377,-0.00013864,-0.00076612,-0.0015186,-2.4473e-05,-0.00015306,3.9938e-05,-0.0043882,0.00012668,-4.3048e-05,0.004286,0,0,0,0
8,0.00080364,0.0012935,-0.0001404,-0.00070388,-0.0013674,-1.1119e-05,-0.00013803,3.7119e-05,-0.004093,0.00011417,-3.9776e-05,0.0040009,0,0,0,0
8.1,0.00073616,0.0011637,-0.00014093,-0.0006465,-0.0012311,1.6561e-07,-0.00012446,3.4472e-05,-0.0038179,0.00010289,-3.6734e-05,0.003735,0,0,0,0
8.2,0.00067419,0.0010468,-0.00014043,-0.00059361,-0.0011083,9.6361e-06,-0.00011222,3.1991e-05,-0.0035617,9.2713e-05,-3.3907e-05,0.0034869,0,0,0,0
8.3,0.0006173,0.00094162,-0.00013906,-0.00054489,-0.00099774,1.752e-05,-0.00010117,2.9669e-05,-0.0033229,8.3538e-05,-3.1283e-05,0.0032555,0,0,0,0
8.4,0.00056508,0.00084691,-0.00013697,-0.00050002,-0.00089811,2.4019e-05,-9.121e-05,2.7496e-05,-0.0031003,7.5267e-05,-2.8849e-05,0.0030395,0,0,0,0
8.5,0.00051717,0.00076167,-0.00013429,-0.00045871,-0.00080837,2.9311e-05,-8.2221e-05,2.5466e-05,-0.0028929,6.7809e-05,-2.6592e-05,0.0028381,0,0,0,0
8.6,0.00047323,0.00068494,-0.00013114,-0.0004207,-0.00072754,3.3555e-05,-7.4113e-05,2.3572e-05,-0.0026995,6.1087e-05,-2.4502e-05,0.0026501,0,0,0,0
8.7,0.00043293,0.00061589,-0.00012761,-0.00038574,-0.00065473,3.689e-05,-6.68e-05,2.1806e-05,-0.0025192,5.5027e-05,-2.2566e-05,0.0024746,0,0,0,0
8.8,0.00039599,0.00055375,-0.00012379,-0.0003536,-0.00058917,3.944e-05,-6.0205e-05,2.016e-05,-0.0023511,4.9564e-05,-2.0774e-05,0.0023109,0,0,0,0
